Переменная|Англ.|Русс.|Перевод
api.common.mail.confirm_email.i_glad|I’m sincerely glad to see you among our customers and I promise that we will do everything to exceed your expectations on work with our service.|Я искренне рад видеть Вас в числе наших клиентов и обещаю - мы сделаем все, чтобы превысить Ваши ожидания от работы с нашим сервисом.|Mă bucur sincer să Vă văd printre clienții noștri și vă promit că vom face totul pentru a depăși așteptările Dumneavoastră în lucrul cu service-ul nostru.
Варенье, джем|Jam|Варенье, джем|Dulceață, gem
Ямайка|Jamaica|Ямайка|Jamaica
frontend.views.vendor.jan|January|Январь|Ianuarie
Япония|Japan|Япония|Japonia
Джерси|Jersey|Джерси|Jersey
frontend.views.site.join_us|Join us, we will be glad to see you among our clients. You can rely on us. |Присоединяйтесь, мы будем рады видеть вас в числе наших клиентов. Вы можете рассчитывать на нас.|Alăturați-vă, vom fi bucuroși să vă vedem printre clienții noștri. Puteți conta pe noi.
Иордания|Jordan|Иордания|Iordania
Соки и нектары|Juices and nectars|Соки и нектары|Sucuri și nectare
frontend.views.vendor.july|July|Июль|Iulie
frontend.views.vendor.june|June|Июнь|Iunie
franchise.views.organization.kpp_two|KPP|КПП:|KPP:
Казахстан|Kazakhstan|Казахстан|Kazahstan
Казахстанский тенге|Kazakhstani tenge|Казахстанский тенге| tenge Kazahstan
Кения|Kenia|Кения|Kenya
frontend.views.site.christo|Khristo Dechev|Христо Дечев|Hristo Dechev
Кирибати|Kiribati|Кирибати|Kiribati
Аксессуары для кухни|Kitchen accessories|Аксессуары для кухни|Accesorii pentru bucătărie
Корея, Республика|Korea|Корея, Республика|Republica Coreea,
Корея, Народно-Демократическая Республика|Korea, People's Democratic Republic|Корея, Народно-Демократическая Республика|Coreea, Republica Populară Democrată
Кувейт|Kuweit|Кувейт|Kuweit
Киргизия|Kyrgyzstan|Киргизия|Kîrgîzstan
Киргизский сом|Kyrgyzstani som|Киргизский сом| Som Kirghiz
Ягнятина|Lamb|Ягнятина|carne de miel
Лаос|Laos|Лаос|Laos
franchise.views.finance.last_month|Last month debt:|Долг за прошлый месяц:|Datoria pentru ultima lună:
Латвия|Latvia|Латвия|Letonia
frontend.views.order.out|Leave|Уйти|Ieșire
Ливан|Lebanon|Ливан|Liban
franchise.views.organization.jur_name_seven|Legal address|Юридический адрес:|Adresa juridică:
franchise.views.organization.jur_name_six|Legal name|Юридическое название:|Denumirea juridică:
frontend.views.vendor.jur_name|Legal person name|Название юридического лица|Denumirea persoanei juridice
Бобовые, крупы|Legume crops, groats|Бобовые, крупы|Leguminoase, cereale
Бобовые|Legumes|Бобовые|Leguminoase
Лесото|Lessoto|Лесото|Lesotho
frontend.views.vendor.do_it|Let do it!|Сделаем это!|Să facem asta!
Салаты|Lettuce|Салаты|Salate
Либерия|Liberia|Либерия|Liberia
Ливийская Арабская Джамахирия|Libyan Arab Jamahiriya|Ливийская Арабская Джамахирия|Jamahiriya Arabă Libiană
Лихтенштейн|Liechtenstein|Лихтенштейн|Liechtenstein
frontend.views.site.set_limits|Limitation setting|Выставление лимитов|Stabilirea limitelor
common.mail.franchisee_associate_added.link|Link for revision:|Ссылка на просмотр:|Link pentru vizualizare:
льняное масло|Linseed oil|Льняное масло|Ulei de semințe de in
frontend.views.request.empty_list|List is empty|Список пуст|Lista este goală
frontend.views.order.orders_list|List of all created orders|Список всех созданных заказов|Lista tuturor comenzilor create
frontend.views.client.supp.vendors_list_two|List of all your suppliers|Список всех ваших поставщиков|Lista tuturor furnizorilor Dvs.
Список платежей|List of payments|Список платежей|Lista plăților
frontend.views.order.orders_list_two|List of pending orders|Список готовящихся заказов|Lista de pre-comenzi
frontend.views.order.guide_list|List of templates|Список шаблонов|Listă de șabloane
